GP,WinPer,MIN,FGM,FGA,3PM,3PA,FTM,FTA,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,+/-,year
82,24.4,48.2,34.5,78.2,10.2,27,15.1,22.8,11.2,31.2,42.5,20,14.9,6.8,4.2,4.1,17.7,19.8,94.2,0.8,2012
82,41.5,48.2,37.4,83.6,5.3,14.6,13.5,18.2,10.7,32.5,43.2,22,11.2,8,5.2,4.8,17.5,16.2,93.6,4.2,2012
82,30.5,48.3,37.8,82.5,6.7,19.6,16,21.2,10.9,30.8,41.7,22.5,14.1,6.5,5.5,4.4,18.7,19.6,98.4,-0.2,2012
82,40.2,48.4,36.4,82.1,7.2,20.9,17.2,21.6,11.1,29.5,40.7,20.4,14.2,8,4.9,4.8,19,19.8,97.2,-0.6,2012
82,34.1,48.4,37.7,86.5,6.2,19.7,17.1,23.2,13.4,29.5,42.9,19.3,14.4,8.5,4.9,6.4,19.5,19.9,98.8,-5.7,2012
82,70.7,48.5,39.6,82.8,8.4,21.3,16.2,21.6,10.3,32.6,43,23.2,13.6,7.4,4.4,5,17.3,18.8,103.7,7.2,2012
82,41.5,48.7,34.4,78.1,5.5,16.3,16.4,21.4,10.6,31.4,42,20.9,15.2,6.5,4.9,4.9,23.2,18.4,90.7,-3.3,2012
82,52.4,48.5,38.2,83.8,4.1,12.8,19.1,25.3,13,31.1,44.2,21.8,14.2,8.3,5.8,5.7,21.8,20.7,99.7,0.6,2012
82,35.4,48.4,36.6,83,5.2,16.3,15.3,21,11.7,29.9,41.7,19.1,15.3,8,6.3,4.5,21.3,18.7,93.6,-4.8,2012
66,60.6,49,36.2,78.4,6.1,17.4,16.4,21.1,9.3,30,39.3,22,13.6,6.1,4.2,4.2,19,18.5,95,-0.8,2011
66,59.1,48.3,36.9,75.8,5,13.6,17.8,23.1,7.8,31,38.8,23.4,14.6,8.2,4.2,4.4,20.5,20.2,96.5,5.4,2011
66,10.6,48.2,35,77.6,4.8,14.7,18.4,24.4,10.3,29.8,40.1,21.1,14.5,6.4,5.3,6,20,21.1,93.3,-4,2011
66,75.8,48.3,37.1,80.3,6.2,17.3,18.2,24.5,11.8,32.4,44.2,22.3,14.2,7.2,5.7,5.8,20,20.1,98.6,7.3,2011
66,31.8,48.4,35.2,81.1,6.2,18.2,18.9,25.3,10.4,29.9,40.3,21,14.2,6.6,4.2,6,20.1,21.3,95.5,-9,2011
66,54.5,48.7,37.4,78.8,7.9,21.6,17.5,22.6,9.5,31.9,41.4,23.8,14,6.8,4.3,3.7,19.2,20.1,100.2,4.2,2011
66,57.6,48.6,38.4,80.6,8.1,20.8,22.7,29.6,9.6,32.3,42,22.1,14.1,7.4,4.3,6,21,22.7,107.5,4.8,2011
66,37.9,48.4,37.3,81.1,5.8,15.3,16.7,22.6,11.4,27.3,38.6,21.1,13,7.3,4,4.6,19.9,18.8,97,-3.6,2011
66,34.8,48.2,39.6,85.9,8.4,21.3,15.7,20.7,11.6,28.9,40.5,22.5,14.6,9,5,4.3,22,18.4,103.4,-2.3,2011
66,51.5,48.7,38.7,85.1,8.3,22.5,20.3,25.4,11.7,31.1,42.8,23.8,13.5,7.1,4.5,5.5,20,21.4,105.9,2.2,2011
66,63.6,48.5,36.6,82.8,7.1,20.2,19.4,24.8,11.1,32.4,43.5,19.6,15.4,7.1,5.6,5.7,21.7,21.4,99.8,-1.1,2011
66,60.6,48.4,36.8,80.4,6.3,18.5,18.9,26.7,11.6,30.5,42.1,22.1,16.4,7.1,4.9,4.9,21.1,22.1,98.6,-3.1,2011
66,62.1,48.7,38.1,82.4,6.4,18.1,18.8,24.1,12.1,31.9,44,22,13.1,7.3,5.1,4.5,19,20.7,101.5,6.1,2011
66,62.1,48.3,39,82.9,3.8,11.3,18.1,24.2,11.8,29.2,41,20.6,14,9.4,5.4,6.2,20.8,21.4,99.9,2.3,2011
66,69.7,48.6,37,76.8,6.7,18,21.5,27.9,9.6,32.5,42.1,20,13.9,6.6,5.2,3,20.4,21.8,102.1,7.5,2011
66,47,48.1,34.3,79.8,5.9,17.2,17.4,22.9,10.5,30.2,40.8,18.8,13.5,7.5,4.9,4.8,20.5,20.7,91.9,-0.8,2011
66,39.4,48.3,37.7,85.5,7.2,19.1,18.5,24.1,13.2,31.2,44.4,20.1,17,7.2,5.1,5.5,22.3,20.9,101.1,-6.6,2011
66,33.3,48.2,35.6,81,5.6,16.3,17.4,22.9,11.1,29.8,40.8,21,14,5.6,4.7,4.6,22,20,94.2,-6.2,2011
